packet_size	connection_duration	src_bytes	protocol_type	is_malicious	Category	Anomaly
1499	9.444526885151497	2579	1	1	Server Node	-1
53	0.6295044377989522	22091	2	0	Normal User	-1
1430	0.9245156708330704	48338	2	1	Server Node	-1
995	1.0078710578589627	1322	0	0	Normal User	-1
74	9.467325974528734	4925	1	1	Normal User	-1
138	1.7455327759016042	2122	2	0	Server Node	-1
229	0.7287671129410134	2262	2	1	Server Node	-1
1440	0.2353524517872731	12612	0	1	Server Node	-1
1474	7.595103900220313	2024	0	0	Server Node	-1
703	2.151553725179759	560	2	1	Server Node	-1
1116	9.80658097841454	49981	1	1	Server Node	-1
920	1.0136768036645862	1114	2	0	Normal User	-1
48	6.013053014328762	3483	1	0	Normal User	-1
93	0.7171794888612903	45047	2	1	Server Node	-1
1483	8.459962659072925	48788	0	0	Server Node	-1
138	7.400311540328809	1045	0	1	Server Node	-1
77	2.3307946973540297	11316	0	0	Normal User	-1
197	8.401967331155985	2328	2	0	Server Node	-1
59	9.006707708392513	46507	2	0	Normal User	-1
1405	9.977156897646047	5795	2	1	Normal User	-1
44	4.624302170888615	10016	0	1	Server Node	-1
1413	0.2208104159486407	11803	2	0	Normal User	-1
1456	9.19563017038139	2969	0	0	Normal User	-1
1348	1.2312462705513088	1636	1	0	Normal User	-1
492	0.4251820354100396	5945	0	1	Server Node	-1
