packet_size	connection_duration	src_bytes	protocol_type	is_malicious	Category
1166	6.196926527460147	28465	2	1	Server Node
1499	9.444526885151497	2579	1	1	Server Node
900	9.448090811539156	3217	2	0	Server Node
1334	8.685269442194537	28452	2	1	Server Node
1170	6.400395614715512	21408	0	1	Server Node
1135	8.029398017355758	42960	2	0	Normal User
1084	6.803966589591519	25361	2	1	Server Node
161	5.776333712552139	7811	2	1	Server Node
506	1.372153497015711	28571	0	0	Normal User
1278	8.13092134968643	24070	1	0	Normal User
370	8.224330809865158	18949	0	0	Normal User
127	6.296802734005571	34036	0	1	Normal User
1436	8.222225753335554	38758	1	0	Normal User
1163	6.5496992413921005	48802	0	1	Server Node
911	2.14617516277978	29365	1	1	Server Node
170	2.8122151604792243	7145	0	1	Normal User
1372	2.224432285112904	38500	1	1	Server Node
809	3.834864923956961	27237	2	1	Server Node
383	0.4857350098713129	11985	0	1	Server Node
1477	6.220713454945139	39065	0	1	Server Node
845	3.4318867273983926	26022	0	0	Normal User
425	6.591654090269348	12842	0	0	Normal User
1255	3.915426547559094	41306	2	1	Normal User
995	6.847975322830618	49270	0	1	Server Node
316	3.4721832376959765	13587	2	0	Server Node
1224	2.680875829535441	38141	2	1	Normal User
499	5.010770797504721	34749	2	0	Normal User
1377	6.959614551050199	10593	2	0	Normal User
61	3.5485323840866543	47690	1	0	Normal User
292	9.372816703371502	16938	1	1	Server Node
787	0.487944634088898	40911	0	1	Server Node
896	4.23766571398423	26899	1	0	Server Node
514	9.67904746005045	20346	1	0	Normal User
1122	5.5249216441560645	16208	0	0	Server Node
550	4.292362328850373	44539	0	0	Normal User
739	5.728350809124588	45868	0	0	Normal User
1015	5.801653295055037	11498	1	1	Server Node
229	7.343312777466438	47563	1	0	Normal User
997	1.3641283212824096	31178	0	1	Server Node
726	2.575162847239437	11182	2	0	Server Node
997	5.847385722204708	49648	0	1	Server Node
602	8.68445441137625	9019	2	1	Server Node
1307	5.662480252223358	31980	2	1	Server Node
871	2.462108911924368	20194	0	1	Server Node
1194	6.8304633210124335	3800	0	1	Server Node
686	7.425096728429008	7222	0	1	Server Node
60	2.458537908799397	40486	1	0	Normal User
880	3.83951597314532	24660	2	1	Server Node
206	5.389841987952578	20559	1	0	Normal User
1337	5.0159557877624685	36322	1	1	Server Node
427	3.9572190535701135	14075	0	1	Server Node
640	3.046588227642178	8470	1	0	Normal User
355	1.0898503829024475	35411	0	1	Server Node
53	0.6295044377989522	22091	2	0	Normal User
281	9.589560819143664	32321	0	0	Normal User
816	8.486717126546338	10003	1	0	Server Node
1409	3.613561385580935	48417	1	0	Server Node
604	9.572328762751916	19422	0	1	Normal User
937	6.800022053800602	12675	0	1	Server Node
1403	4.87695740146216	41624	1	0	Normal User
131	4.980954011940869	21889	2	1	Server Node
1430	0.9245156708330704	48338	2	1	Server Node
995	1.0078710578589627	1322	0	0	Normal User
1491	6.064165166421078	17827	2	1	Server Node
548	5.581660218223427	47557	1	0	Normal User
815	2.2060061607398667	6650	0	0	Normal User
74	9.467325974528734	4925	1	1	Normal User
245	7.834830899664905	16532	1	1	Server Node
1144	1.2232995599727354	2698	2	1	Normal User
1451	9.316198146304195	20579	0	0	Normal User
1065	9.74505726449066	36720	0	0	Server Node
1061	9.95971929610026	42374	2	1	Server Node
1453	0.6531244313057655	14359	1	1	Server Node
605	7.396652012230987	31919	1	1	Normal User
1169	5.50456612463339	9205	1	1	Server Node
742	7.087731690399076	43380	1	0	Server Node
441	9.689654245343936	23736	0	1	Normal User
769	6.911497100732887	22919	0	0	Normal User
201	8.38594235495	20478	2	0	Normal User
241	8.68200018257733	38109	2	1	Normal User
1035	8.400959561263452	15858	0	1	Server Node
309	4.318305602964717	34677	0	1	Server Node
855	2.3035065339532026	29878	1	0	Server Node
1334	4.0268508593470935	37834	1	1	Server Node
495	8.929779396890089	11882	2	1	Server Node
1315	1.5513877347510523	15096	0	0	Normal User
1056	5.181929070054689	34072	2	1	Normal User
335	2.4089579170028257	13721	0	0	Normal User
759	5.854923630545144	1779	1	1	Server Node
377	8.645071367691138	46460	2	0	Normal User
918	8.815563689520326	7583	2	1	Server Node
1116	2.44318341745258	44361	0	1	Server Node
831	9.086167692850609	18271	1	0	Normal User
