packet_size	connection_duration	src_bytes	protocol_type	is_malicious
1166	6.196926527460147	28465	UDP	1
1499	9.444526885151495	2579	TCP	1
900	9.448090811539156	3217	UDP	0
1334	8.685269442194537	28452	UDP	1
1170	6.400395614715512	21408	HTTP	1
1135	8.029398017355758	42960	UDP	0
1084	6.803966589591519	25361	UDP	1
161	5.776333712552139	7811	UDP	1
506	1.372153497015711	28571	HTTP	0
1278	8.13092134968643	24070	TCP	0
370	8.224330809865158	18949	HTTP	0
127	6.296802734005571	34036	HTTP	1
1436	8.222225753335554	38758	TCP	0
1163	6.5496992413921005	48802	HTTP	1
911	2.1461751627797794	29365	TCP	1
170	2.8122151604792243	7145	HTTP	1
1372	2.224432285112904	38500	TCP	1
809	3.834864923956961	27237	UDP	1
383	0.4857350098713129	11985	HTTP	1
1477	6.220713454945139	39065	HTTP	1
845	3.4318867273983926	26022	HTTP	0
425	6.591654090269348	12842	HTTP	0
1255	3.915426547559094	41306	UDP	1
995	6.847975322830618	49270	HTTP	1
316	3.4721832376959765	13587	UDP	0
1224	2.680875829535441	38141	UDP	1
499	5.010770797504721	34749	UDP	0
1377	6.959614551050199	10593	UDP	0
61	3.5485323840866543	47690	TCP	0
292	9.372816703371502	16938	TCP	1
787	0.487944634088898	40911	HTTP	1
896	4.23766571398423	26899	TCP	0
514	9.67904746005045	20346	TCP	0
1122	5.5249216441560645	16208	HTTP	0
550	4.292362328850373	44539	HTTP	0
739	5.728350809124588	45868	HTTP	0
1015	5.801653295055037	11498	TCP	1
229	7.343312777466438	47563	TCP	0
997	1.3641283212824096	31178	HTTP	1
726	2.5751628472394366	11182	UDP	0
997	5.847385722204708	49648	HTTP	1
602	8.68445441137625	9019	UDP	1
1307	5.662480252223358	31980	UDP	1
871	2.4621089119243678	20194	HTTP	1
1194	6.8304633210124335	3800	HTTP	1
686	7.425096728429008	7222	HTTP	1
60	2.458537908799397	40486	TCP	0
880	3.8395159731453194	24660	UDP	1
206	5.389841987952578	20559	TCP	0
1337	5.0159557877624685	36322	TCP	1
427	3.9572190535701144	14075	HTTP	1
640	3.046588227642178	8470	TCP	0
355	1.0898503829024475	35411	HTTP	1
53	0.6295044377989522	22091	UDP	0
281	9.589560819143664	32321	HTTP	0
816	8.486717126546338	10003	TCP	0
1409	3.6135613855809345	48417	TCP	0
604	9.572328762751917	19422	HTTP	1
937	6.800022053800602	12675	HTTP	1
1403	4.87695740146216	41624	TCP	0
131	4.980954011940869	21889	UDP	1
1430	0.9245156708330705	48338	UDP	1
995	1.0078710578589627	1322	HTTP	0
1491	6.064165166421078	17827	UDP	1
548	5.581660218223427	47557	TCP	0
815	2.2060061607398667	6650	HTTP	0
74	9.467325974528734	4925	TCP	1
245	7.834830899664905	16532	TCP	1
1144	1.2232995599727354	2698	UDP	1
1451	9.316198146304197	20579	HTTP	0
1065	9.745057264490661	36720	HTTP	0
1061	9.959719296100259	42374	UDP	1
1453	0.6531244313057655	14359	TCP	1
605	7.396652012230987	31919	TCP	1
1169	5.50456612463339	9205	TCP	1
742	7.0877316903990755	43380	TCP	0
441	9.689654245343936	23736	HTTP	1
769	6.911497100732887	22919	HTTP	0
201	8.38594235495	20478	UDP	0
241	8.68200018257733	38109	UDP	1
1035	8.400959561263452	15858	HTTP	1
309	4.318305602964717	34677	HTTP	1
855	2.3035065339532026	29878	TCP	0
1334	4.0268508593470935	37834	TCP	1
495	8.929779396890089	11882	UDP	1
1315	1.5513877347510525	15096	HTTP	0
1056	5.181929070054689	34072	UDP	1
335	2.4089579170028257	13721	HTTP	0
759	5.854923630545144	1779	TCP	1
377	8.645071367691138	46460	UDP	0
918	8.815563689520326	7583	UDP	1
1116	2.44318341745258	44361	HTTP	1
831	9.086167692850609	18271	TCP	0
256	5.959698514330715	30475	UDP	0
803	3.5671606423331044	46148	TCP	1
227	7.110993836273678	48785	UDP	0
419	4.868503180844741	19563	TCP	0
532	3.8420771422103193	2606	HTTP	0
1104	7.080335206536933	25057	UDP	0
1220	2.5623691288598507	49354	UDP	1
