ip_address_range	protocol_type	packets_sent	device_type	traffic_volume	connection_frequency	node_category
172.16.x.x	HTTP	2608	Server	61461	43	Server Node
External	TCP	2879	Server	76418	21	Malicious Node
192.168.x.x	TCP	1024	IoT Device	67672	23	Malicious Node
172.16.x.x	ICMP	3056	Router	35832	80	IoT Device
172.16.x.x	HTTP	1681	Server	32966	47	Server Node
External	TCP	3424	Router	73545	15	Router/Switch
192.168.x.x	ICMP	4585	IoT Device	13987	25	Server Node
192.168.x.x	HTTP	355	IoT Device	38311	36	Normal User
172.16.x.x	ICMP	4904	PC	32575	75	Server Node
10.x.x.x	UDP	1938	Server	64852	51	Normal User
172.16.x.x	TCP	2044	Router	2007	15	Normal User
172.16.x.x	UDP	109	PC	71981	68	Router/Switch
172.16.x.x	HTTP	2971	Server	77242	21	IoT Device
172.16.x.x	UDP	897	PC	48517	13	Server Node
External	UDP	1115	IoT Device	30257	86	Normal User
192.168.x.x	HTTP	1924	Server	88272	19	Server Node
External	ICMP	4569	PC	43207	34	IoT Device
External	UDP	3236	PC	14281	78	IoT Device
External	ICMP	2293	Router	62246	68	Malicious Node
172.16.x.x	UDP	323	PC	2435	52	IoT Device
10.x.x.x	ICMP	4258	Server	99875	27	Router/Switch
192.168.x.x	HTTP	4025	Server	92357	29	Normal User
10.x.x.x	UDP	4884	Router	27660	28	Malicious Node
External	HTTP	4100	Server	6084	35	Router/Switch
External	UDP	1733	IoT Device	83197	8	Server Node
10.x.x.x	HTTP	2252	Server	14507	16	Normal User
10.x.x.x	HTTP	610	Server	73595	36	IoT Device
10.x.x.x	UDP	484	PC	84807	30	Normal User
External	UDP	504	PC	46539	18	Server Node
External	UDP	4713	Server	8491	2	Malicious Node
192.168.x.x	TCP	4671	Router	51192	49	Malicious Node
192.168.x.x	ICMP	2100	PC	81395	77	Malicious Node
External	TCP	2856	Router	64888	4	IoT Device
10.x.x.x	TCP	1768	Server	74609	90	Router/Switch
10.x.x.x	HTTP	1560	Server	10077	89	Router/Switch
192.168.x.x	UDP	3736	IoT Device	21953	94	Normal User
External	ICMP	2824	PC	77919	75	IoT Device
192.168.x.x	HTTP	4909	Server	68889	7	Malicious Node
192.168.x.x	TCP	4278	IoT Device	24821	95	Malicious Node
172.16.x.x	UDP	2148	PC	38567	74	Server Node
172.16.x.x	HTTP	4246	Server	25860	39	Server Node
172.16.x.x	UDP	4880	Server	22195	13	Malicious Node
10.x.x.x	HTTP	816	PC	78475	31	Malicious Node
External	UDP	4644	PC	91874	71	IoT Device
